code,name,market,price,adr_pct,ma10,ma20,prior_rally,ext_pct,ext_adr,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,vcp_score,vcp_grade,vcp_trend_pt,vcp_vol_pt,vcp_rng_pt,vcp_bo_pt,vcp_vol_ratio,vcp_rng_ratio,vcp_is_bo,vcp_bo_body,vcp_bo_volx,vcp_ma_long,ep,ep_today,ep_base,ep_base_days,strong_trend,bo_quality,score,consol_high,consol_low,retracement,consol_valid,entry_price,stop_price,avg_volume_20d,rs_div,rs_strong,rs_rating,rs_short,rs_long,rs_rising,dist_ma200_pct,recovery_pct,pool,rsi14,momentum_surge,rsi_bear_div,mom_trend,rsi14_3d,ret_3d_pct,rsi_delta_3d,days_on_list
6166,凌華,TWSE,132.0,6.95,128.35,114.65,112.5,2.8,0.4,548.1,0.6,-4.93,True,True,True,65,B,1.0,0.6,1.0,0.0,0.6,0.52,False,0.0,0.0,60,True,False,True,19,True,A,16,145.0,112.0,7.1,True,145.0,126.5,4857942,2.0,False,86,86,0,0,60.2,131.6,leader,77.2,False,False,維持,79→80→77,1.9,-0.9,2
4958,臻鼎-KY,TWSE,520.0,7.16,509.45,461.52,115.3,2.1,0.3,18658.6,0.3,-1.26,False,True,False,50,B,1.0,1.0,0.0,0.0,0.39,1.54,False,0.0,0.0,60,False,False,False,0,True,A,15,568.0,402.5,14.6,True,568.0,479.0,41240230,8.5,True,97,97,0,0,59.7,220.0,leader,63.5,False,False,維持,66→70→64,7.0,1.1,1
4919,新唐,TWSE,211.0,8.81,198.15,181.55,129.1,6.5,0.7,5651.8,0.11,3.12,False,True,False,50,B,1.0,1.0,0.0,0.0,0.34,1.33,False,0.0,0.0,60,False,False,False,0,True,B,14,230.0,150.0,23.9,True,230.0,184.0,30625234,16.2,True,95,95,0,0,57.6,162.8,leader,65.1,False,False,加速,60→64→65,11.9,6.6,1
8027,鈦昇,TPEx,277.5,7.9,254.7,245.62,126.6,9.0,1.1,1153.1,0.36,4.95,True,True,True,82,A,1.0,1.0,1.0,0.3,0.26,0.5,False,0.0,0.0,60,False,False,False,0,True,B,14,297.0,237.0,18.3,True,297.0,242.0,4738280,-6.4,False,96,96,0,0,59.8,208.7,leader,68.5,False,True,加速,65→71→68,13.0,7.0,1
6182,合晶,TPEx,90.1,6.06,82.01,68.82,101.0,9.9,1.6,3132.1,0.32,-4.83,False,True,False,25,C,1.0,0.0,0.0,0.0,1.19,3.12,False,0.0,0.0,60,False,False,False,0,True,B,14,101.5,55.5,9.8,True,101.5,79.3,46656727,52.7,True,96,96,0,0,91.0,193.5,leader,74.6,False,False,轉弱,91→86→75,-0.7,-14.6,1
3167,大量,TWSE,840.0,7.67,811.3,779.25,70.4,3.5,0.5,1920.0,0.34,-1.48,True,True,True,65,B,1.0,1.0,0.6,0.0,0.21,0.69,False,0.0,0.0,60,False,False,False,0,True,A,14,914.0,753.0,7.9,True,914.0,780.0,2418113,-11.8,False,96,96,0,0,39.2,202.2,leader,59.9,False,False,加速,56→55→60,5.7,4.1,1
6175,立敦,TPEx,95.0,7.8,94.41,82.11,66.6,0.6,0.1,971.4,0.81,-9.27,False,True,False,25,C,1.0,0.0,0.0,0.0,1.04,2.73,False,0.0,0.0,60,False,False,False,0,True,A,14,115.5,73.3,3.9,True,115.5,90.5,11566685,8.6,True,87,87,0,0,50.7,128.1,leader,66.8,False,False,轉弱,81→75→67,-11.2,-22.1,1
3675,德微,TPEx,370.5,8.02,352.0,299.45,55.3,5.3,0.7,668.5,0.59,-11.62,False,True,False,40,C,1.0,0.6,0.0,0.0,0.61,1.44,False,0.0,0.0,60,False,False,False,0,True,A,14,413.0,285.5,-0.7,True,413.0,338.0,2272252,5.1,True,84,84,0,0,57.8,125.2,leader,69.6,False,False,轉弱,86→70→70,-3.5,-14.4,1
2464,盟立,TWSE,185.0,7.69,164.95,142.97,113.9,12.2,1.6,3553.6,0.7,-0.99,False,True,False,32,C,1.0,0.3,0.0,0.0,0.79,1.88,False,0.0,0.0,60,False,False,False,0,True,B,13,202.0,123.5,12.1,True,202.0,163.5,25118349,32.7,True,96,96,0,0,83.9,191.3,leader,70.4,False,True,轉弱,77→80→70,10.1,-2.1,2
6488,環球晶,TPEx,940.0,6.83,847.2,800.95,106.8,11.0,1.6,7197.2,0.25,-8.56,False,True,False,25,C,1.0,0.0,0.0,0.0,1.6,1.86,False,0.0,0.0,60,False,False,False,0,True,B,13,1040.0,630.0,25.8,True,1040.0,854.0,8749729,27.1,True,83,83,0,0,57.8,129.5,leader,66.3,False,True,轉弱,75→67→66,1.4,-4.8,1
