code,name,market,price,adr_pct,ma10,ma20,prior_rally,ext_pct,ext_adr,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,vcp_score,vcp_grade,vcp_trend_pt,vcp_vol_pt,vcp_rng_pt,vcp_bo_pt,vcp_vol_ratio,vcp_rng_ratio,vcp_is_bo,vcp_bo_body,vcp_bo_volx,vcp_ma_long,ep,ep_today,ep_base,ep_base_days,strong_trend,bo_quality,score,consol_high,consol_low,retracement,consol_valid,entry_price,stop_price,avg_volume_20d,rs_div,rs_strong,rs_rating,rs_short,rs_long,rs_rising,dist_ma200_pct,recovery_pct,pool,rsi14,momentum_surge,rsi_bear_div,mom_trend,rsi14_3d,ret_3d_pct,rsi_delta_3d,days_on_list
5864,致和證,TPEx,48.25,5.71,44.77,38.35,55.7,7.8,1.4,381.1,0.75,-9.98,False,True,False,25,C,1.0,0.0,0.0,0.0,1.55,2.4,False,0.0,0.0,60,False,False,False,0,True,A,15,53.6,33.45,9.3,True,53.6,42.3,9300290,37.1,True,93,93,0,0,59.7,107.1,leader,70.9,False,False,轉弱,88→90→71,-3.3,-16.9,1
6016,康和證,TPEx,32.4,5.21,30.97,26.78,54.4,4.6,0.9,476.3,0.31,-10.25,False,True,False,25,C,1.0,0.0,0.0,0.0,1.86,2.84,False,0.0,0.0,60,False,False,False,0,True,A,15,36.5,23.25,9.5,True,36.5,29.75,16255470,32.6,True,90,90,0,0,54.4,98.2,leader,69.7,False,False,轉弱,89→90→70,-9.4,-22.7,1
6175,立敦,TPEx,100.5,8.51,97.12,87.42,78.5,3.5,0.4,1106.4,1.94,-9.94,True,False,False,48,C,1.0,0.3,0.6,0.0,1.0,0.79,False,0.0,0.0,60,False,False,False,0,True,A,14,115.5,83.7,13.8,True,115.5,83.7,12439367,10.2,True,95,95,0,0,51.3,125.1,leader,66.9,False,False,加速,57→64→67,10.1,5.5,1
6207,雷科,TPEx,130.5,7.91,124.55,102.85,85.7,4.8,0.6,2143.8,0.14,-20.43,False,True,False,25,C,1.0,0.0,0.0,0.0,1.11,1.25,False,0.0,0.0,60,False,False,False,0,True,A,13,164.0,101.0,-2.2,True,164.0,122.0,20443201,20.3,True,97,97,0,0,81.7,164.7,leader,67.7,False,False,轉弱,90→80→68,-6.5,-19.8,1
3537,堡達,TPEx,77.6,6.95,76.13,66.92,81.3,1.9,0.3,383.1,1.7,-9.93,True,False,False,50,B,1.0,0.0,1.0,0.0,1.29,0.5,False,0.0,0.0,60,False,False,False,0,True,A,13,85.9,65.4,14.7,True,85.9,71.0,5324544,6.4,True,88,88,0,0,50.0,85.6,leader,64.8,False,False,轉弱,69→75→65,-2.1,-11.1,1
4973,廣穎,TPEx,159.5,6.27,157.0,136.12,70.6,1.6,0.3,901.6,0.29,-10.95,False,True,False,50,B,1.0,1.0,0.0,0.0,0.38,2.16,False,0.0,0.0,60,False,False,False,0,True,A,13,178.5,117.5,8.9,True,178.5,153.0,6757309,25.1,True,98,98,0,0,62.2,164.4,leader,67.7,False,False,轉弱,83→79→68,-7.3,-14.8,1
4931,新盛力,TPEx,266.5,8.43,235.3,216.15,74.5,13.3,1.6,3295.6,1.74,-16.17,False,False,False,32,C,1.0,0.0,0.0,0.3,1.12,1.02,False,0.0,0.0,60,False,False,False,0,True,B,12,274.0,205.5,11.8,True,274.0,223.0,15051168,12.0,True,92,92,0,0,56.5,104.2,leader,70.7,False,False,維持,75→65→71,4.9,-2.9,1
3221,台嘉碩,TPEx,58.3,8.37,57.97,52.69,73.7,0.6,0.1,680.3,1.07,-10.14,True,False,False,57,B,1.0,0.3,1.0,0.0,0.95,0.4,False,0.0,0.0,60,False,False,False,0,True,B,11,63.6,51.4,17.1,True,63.6,51.4,12563956,0.6,False,93,93,0,0,33.4,110.5,leader,61.9,False,False,維持,58→60→62,0.0,-2.2,1
4542,科嶠,TPEx,314.5,8.58,267.45,249.57,82.8,17.6,2.1,376.5,2.12,-0.17,True,False,False,65,B,1.0,0.0,0.6,1.0,2.08,0.8,True,1.0,2.12,60,False,False,False,0,True,B,10,314.5,224.0,24.8,True,314.5,224.0,1395815,13.2,True,87,87,0,0,53.9,105.3,leader,70.5,False,True,加速,59→65→71,33.0,18.5,1
8043,蜜望實,TPEx,175.0,9.71,146.5,130.35,74.4,19.5,2.0,3095.5,2.49,-9.72,True,False,False,65,B,1.0,0.0,0.6,1.0,1.12,0.73,True,1.0,2.49,60,False,False,False,0,True,B,10,175.0,117.0,15.5,True,175.0,138.0,23246766,38.4,True,97,97,0,0,81.1,175.2,leader,75.4,False,False,加速,66→71→75,15.9,4.7,1
