code,name,market,rs_rating,mom_trend,rsi14_3d,ret_3d_pct
2351,順德,TWSE,89,維持,67→72→67,7.5
6789,采鈺,TWSE,81,加速,50→51→57,7.1
2233,宇隆,TWSE,59,維持,68→70→71,2.1
6155,鈞寶,TWSE,34,加速,62→67→69,20.2
2441,超豐,TWSE,39,加速,61→65→73,14.7
3305,昇貿,TWSE,43,維持,66→69→73,5.8
2618,長榮航,TWSE,10,加速,47→55→57,3.0
6197,佳必琪,TWSE,75,加速,56→65→71,18.5
1560,中砂,TWSE,52,轉弱,57→66→69,6.8
8112,至上,TWSE,30,維持,50→53→54,3.1
2885,元大金,TWSE,31,維持,63→60→62,0.7
2027,大成鋼,TWSE,28,加速,66→71→67,4.9
3694,海華,TWSE,29,加速,73→73→69,8.8
2912,統一超,TWSE,14,轉弱,42→41→39,-3.3
3583,辛耘,TWSE,93,維持,55→58→60,3.9
3033,威健,TWSE,72,加速,87→88→89,10.5
6805,富世達,TWSE,36,維持,40→47→46,1.4
2401,凌陽,TWSE,44,加速,68→76→79,23.2
4989,榮科,TWSE,70,加速,49→53→56,12.1
6526,達發,TWSE,65,加速,56→62→65,12.1
6719,力智,TWSE,38,加速,73→74→72,10.0
2883,凱基金,TWSE,19,維持,52→50→53,0.2
3450,聯鈞,TWSE,70,加速,59→63→65,17.1
3706,神達,TWSE,24,加速,43→53→63,8.8
2421,建準,TWSE,25,加速,48→59→65,9.3
3376,新日興,TWSE,20,維持,49→54→54,2.7
6446,藥華藥,TWSE,26,維持,68→69→70,1.8
2375,凱美,TWSE,55,加速,76→81→85,32.5
4967,十銓,TWSE,41,維持,48→50→52,5.0
6196,帆宣,TWSE,62,加速,58→65→68,9.1
0052,富邦科技,TWSE,39,加速,57→64→68,5.2
6830,汎銓,TWSE,98,維持,45→46→48,0.6
2363,矽統,TWSE,34,加速,58→63→68,10.2
2059,川湖,TWSE,69,加速,53→60→63,14.4
2458,義隆,TWSE,55,加速,64→68→70,10.2
2353,宏碁,TWSE,24,加速,46→56→65,6.5
7610,聯友金屬-創,TWSE,99,加速,85→87→88,22.5
