code,name,market,price,adr_pct,ma10,ma20,prior_rally,ext_pct,ext_adr,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,vcp_score,vcp_grade,vcp_trend_pt,vcp_vol_pt,vcp_rng_pt,vcp_bo_pt,vcp_vol_ratio,vcp_rng_ratio,vcp_is_bo,vcp_bo_body,vcp_bo_volx,vcp_ma_long,ep,ep_today,ep_base,ep_base_days,strong_trend,bo_quality,score,consol_high,consol_low,retracement,consol_valid,entry_price,stop_price,avg_volume_20d,rs_div,rs_strong,rs_rating,rs_short,rs_long,rs_rising,dist_ma200_pct,recovery_pct,pool,rsi14,momentum_surge,rsi_bear_div,mom_trend,rsi14_3d,ret_3d_pct,rsi_delta_3d,days_on_list
6415,矽力*-KY,TWSE,606.0,7.52,584.7,522.7,92.5,3.6,0.5,4236.6,0.71,-4.61,False,True,False,25,C,1.0,0.0,0.0,0.0,1.15,2.0,False,0.0,0.0,60,False,False,False,0,True,A,15,693.0,465.0,9.5,True,693.0,585.0,7929348,4.1,True,90,90,0,0,58.9,162.4,leader,66.5,False,False,轉弱,70→66→66,-8.9,-13.8,3
4919,新唐,TWSE,208.0,8.69,192.05,179.25,129.1,8.3,1.0,5683.6,0.12,1.27,False,True,False,40,C,1.0,0.6,0.0,0.0,0.69,1.57,False,0.0,0.0,60,False,False,False,0,True,B,14,230.0,141.0,28.4,True,230.0,184.0,30864172,23.1,True,95,95,0,0,58.1,184.9,leader,64.3,False,False,維持,59→60→64,0.7,-3.0,1
2351,順德,TWSE,202.0,7.49,200.3,188.28,99.4,0.8,0.1,1722.8,0.77,-9.44,False,True,False,25,C,1.0,0.0,0.0,0.0,1.08,1.34,False,0.0,0.0,60,False,False,False,0,True,A,14,233.0,169.0,14.2,True,233.0,198.5,9084094,4.0,True,92,92,0,0,45.8,153.1,leader,61.2,False,False,轉弱,73→65→61,-11.8,-18.8,3
6291,沛亨,TPEx,648.0,6.83,571.5,524.88,51.8,13.4,2.0,1295.6,0.28,-7.8,False,True,False,25,C,1.0,0.0,0.0,0.0,1.4,2.03,False,0.0,0.0,60,False,False,False,0,True,B,14,718.0,460.0,14.2,True,718.0,526.0,2405459,23.9,True,91,91,0,0,53.4,165.4,leader,68.8,False,False,維持,73→75→69,0.5,-3.8,1
2426,鼎元,TWSE,77.0,7.21,76.56,72.45,127.8,0.6,0.1,1212.6,1.22,-5.32,False,False,False,25,C,1.0,0.0,0.0,0.0,1.74,1.08,False,0.0,0.0,60,False,False,False,0,True,B,13,88.8,64.12,18.3,True,88.8,73.5,15800953,11.8,True,98,98,0,0,49.4,271.5,leader,61.1,False,False,維持,67→68→61,-1.0,-3.9,1
4958,臻鼎-KY,TWSE,548.0,6.99,498.3,456.85,121.4,10.0,1.4,19183.4,0.3,5.24,False,True,False,48,C,1.0,0.6,0.0,0.3,0.51,1.65,False,0.0,0.0,60,False,False,False,0,True,B,13,568.0,394.0,16.4,True,568.0,479.0,42595863,20.9,True,97,97,0,0,71.3,237.2,leader,69.9,False,True,轉弱,62→66→70,3.0,-4.8,1
6451,訊芯-KY,TWSE,627.0,8.95,556.85,525.5,102.4,12.6,1.4,3375.7,0.9,-3.05,False,False,False,40,C,1.0,0.3,0.0,0.3,0.98,1.01,False,0.0,0.0,60,False,False,False,0,True,B,13,653.0,472.0,19.0,True,653.0,556.0,6409152,7.7,True,97,97,0,0,54.8,266.7,leader,64.4,False,False,維持,59→59→64,4.2,0.7,3
3037,欣興,TWSE,1050.0,6.72,980.1,921.1,84.1,7.1,1.1,24502.1,0.72,-2.28,False,True,False,32,C,1.0,0.3,0.0,0.0,0.86,1.92,False,0.0,0.0,60,False,False,False,0,True,B,13,1130.0,793.0,16.4,True,1130.0,989.0,26687385,15.1,True,89,89,0,0,49.1,169.9,leader,68.4,False,False,轉弱,67→69→68,-2.8,-7.0,1
3090,日電貿,TWSE,233.5,8.06,212.25,167.3,65.4,10.0,1.2,2663.8,0.12,-1.75,False,True,False,57,B,1.0,1.0,0.0,0.3,0.16,1.4,False,0.0,0.0,60,False,False,False,0,True,A,13,251.0,155.5,-4.0,True,251.0,208.0,17208538,41.6,True,93,93,0,0,93.5,165.0,leader,77.6,False,False,轉弱,73→77→78,1.1,-11.3,2
7610,聯友金屬-創,TWSE,1615.0,8.15,1279.5,1054.8,181.5,26.2,3.2,859.6,0.38,7.12,False,True,False,50,B,1.0,1.0,0.0,0.0,0.24,1.06,True,0.33,0.38,60,False,False,False,0,True,C,12,1620.0,981.0,5.7,True,1620.0,1220.0,895352,42.9,True,99,99,0,0,146.5,465.7,leader,90.8,False,False,加速,86→89→91,31.3,7.8,2
6147,頎邦,TPEx,285.5,8.35,248.75,220.68,167.3,14.8,1.8,14613.5,1.34,2.45,False,False,False,25,C,1.0,0.0,0.0,0.0,1.08,2.05,False,0.0,0.0,60,False,False,False,0,True,B,12,313.5,200.5,5.9,True,313.5,243.0,65804450,29.0,True,99,99,0,0,108.7,456.5,leader,76.1,False,True,轉弱,84→87→76,7.7,-6.4,1
6531,愛普*,TWSE,1125.0,9.57,1046.2,1024.2,161.4,7.5,0.8,8299.7,1.5,3.33,False,False,False,25,C,1.0,0.0,0.0,0.0,1.65,1.29,False,0.0,0.0,60,False,False,False,0,True,B,12,1305.0,876.0,23.8,True,1305.0,1045.0,7951648,5.8,True,93,93,0,0,54.6,179.2,leader,62.8,False,False,維持,64→69→63,4.2,-0.6,3
