code,name,market,price,adr_pct,ma10,ma20,prior_rally,ext_pct,ext_adr,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,vcp_score,vcp_grade,vcp_trend_pt,vcp_vol_pt,vcp_rng_pt,vcp_bo_pt,vcp_vol_ratio,vcp_rng_ratio,vcp_is_bo,vcp_bo_body,vcp_bo_volx,vcp_ma_long,ep,ep_today,ep_base,ep_base_days,strong_trend,bo_quality,score,consol_high,consol_low,retracement,consol_valid,entry_price,stop_price,avg_volume_20d,rs_div,rs_strong,rs_rating,rs_short,rs_long,rs_rising,dist_ma200_pct,recovery_pct,pool,rsi14,momentum_surge,rsi_bear_div,mom_trend,rsi14_3d,ret_3d_pct,rsi_delta_3d,days_on_list
4919,新唐,TWSE,203.0,8.45,201.95,183.65,129.1,0.5,0.1,5597.5,0.06,-0.93,False,True,False,57,B,1.0,1.0,0.3,0.0,0.1,0.96,False,0.0,0.0,60,False,False,False,0,True,B,15,230.0,166.0,15.7,True,230.0,184.0,30266565,4.8,True,91,91,0,0,49.4,148.2,leader,61.1,False,False,維持,64→65→61,6.0,1.6,1
6672,騰輝電子-KY,TWSE,217.0,5.11,209.7,202.82,72.5,3.5,0.7,1139.0,0.6,-2.04,True,True,True,40,C,1.0,0.0,0.3,0.3,1.09,0.85,False,0.0,0.0,60,False,False,False,0,True,B,15,226.0,178.0,22.4,True,226.0,211.0,5507859,6.7,True,91,91,0,0,30.2,147.5,leader,62.1,False,False,轉弱,65→61→62,-2.5,-4.7,1
7610,聯友金屬-創,TWSE,1660.0,7.28,1400.0,1151.1,162.9,18.6,2.6,799.3,0.39,-1.45,True,True,True,72,B,1.0,1.0,0.6,0.3,0.33,0.76,False,0.0,0.0,60,False,False,False,0,True,C,14,1730.0,1155.0,-3.1,True,1730.0,1225.0,771582,26.3,True,99,99,0,0,136.7,481.4,leader,88.6,False,False,維持,91→92→89,12.5,-0.2,2
3026,禾伸堂,TWSE,640.0,6.3,581.9,461.85,157.4,10.0,1.6,1918.5,0.22,-1.85,False,True,False,50,B,1.0,1.0,0.0,0.0,0.32,1.79,False,0.0,0.0,60,False,False,False,0,True,B,14,699.0,427.0,-6.4,True,699.0,585.0,5025098,37.6,True,99,99,0,0,136.4,521.4,leader,82.3,False,False,轉弱,91→85→82,-0.2,-7.6,3
6531,愛普*,TWSE,1100.0,9.58,1063.9,1037.95,143.4,3.4,0.4,8682.5,0.64,-3.9,False,True,False,25,C,1.0,0.0,0.0,0.0,1.34,1.29,False,0.0,0.0,60,False,False,False,0,True,B,14,1305.0,876.0,23.8,True,1305.0,1045.0,8273369,3.0,True,93,93,0,0,46.8,173.0,leader,59.8,False,False,轉弱,63→58→60,-7.6,-9.5,3
3135,凌航,TWSE,238.5,6.42,232.7,215.78,123.7,2.5,0.4,1128.6,0.97,-4.48,True,False,False,48,C,1.0,0.3,0.6,0.0,0.92,0.68,False,0.0,0.0,60,False,False,False,0,True,B,14,266.0,195.0,18.9,True,266.0,230.5,5270273,11.2,True,81,81,0,0,53.5,133.8,leader,66.0,False,False,轉弱,73→67→66,-8.4,-13.5,2
3624,光頡,TPEx,115.0,8.87,102.45,87.66,115.3,12.2,1.4,1152.2,0.29,-0.41,True,True,True,75,A,1.0,1.0,1.0,0.0,0.31,0.52,False,0.0,0.0,60,False,False,False,0,True,B,14,122.0,84.6,15.4,True,122.0,95.0,13634005,15.2,True,89,89,0,0,81.6,153.9,leader,80.5,False,True,轉弱,91→93→81,4.5,-10.3,1
2327,國巨*,TWSE,820.0,6.48,719.0,580.85,106.4,14.0,2.2,27455.3,0.32,-4.37,True,True,True,65,B,1.0,1.0,0.3,0.3,0.39,0.83,False,0.0,0.0,60,False,False,False,0,True,B,14,847.0,560.0,-2.8,True,847.0,709.0,51840484,35.2,True,97,97,0,0,113.2,236.8,leader,84.0,False,True,轉弱,88→90→84,11.1,-2.3,2
6488,環球晶,TPEx,950.0,6.19,878.4,812.4,102.1,8.2,1.3,6274.4,0.22,-2.79,False,True,False,25,C,1.0,0.0,0.0,0.0,1.09,1.39,False,0.0,0.0,60,False,False,False,0,True,B,14,1040.0,701.0,17.4,True,1040.0,914.0,7446547,23.9,True,86,86,0,0,57.3,132.0,leader,66.9,False,False,轉弱,67→66→67,-6.4,-8.5,1
8043,蜜望實,TPEx,151.0,9.05,136.95,119.87,92.1,10.3,1.1,2491.2,0.62,-0.63,True,True,True,55,B,1.0,0.3,0.6,0.3,0.91,0.68,False,0.0,0.0,60,False,False,False,0,True,A,14,158.5,117.0,6.0,True,158.5,126.5,20608926,14.0,True,88,88,0,0,64.0,137.4,leader,70.7,False,False,維持,75→76→71,7.1,-0.2,1
