code,name,market,price,adr_pct,ma10,ma20,prior_rally,ext_pct,ext_adr,daily_value_m,vol_ratio,gap_pct,range_contract,vol_drying,is_vcp,vcp_score,vcp_grade,vcp_trend_pt,vcp_vol_pt,vcp_rng_pt,vcp_bo_pt,vcp_vol_ratio,vcp_rng_ratio,vcp_is_bo,vcp_bo_body,vcp_bo_volx,vcp_ma_long,ep,ep_today,ep_base,ep_base_days,strong_trend,bo_quality,score,consol_high,consol_low,retracement,consol_valid,entry_price,stop_price,avg_volume_20d,rs_div,rs_strong,rs_rating,rs_short,rs_long,rs_rising,dist_ma200_pct,recovery_pct,pool,rsi14,momentum_surge,rsi_bear_div,mom_trend,rsi14_3d,ret_3d_pct,rsi_delta_3d,days_on_list
2492,華新科,TWSE,416.0,7.96,389.8,306.1,135.9,6.7,0.8,3319.0,0.31,-7.65,True,True,True,65,B,1.0,1.0,0.6,0.0,0.29,0.62,False,0.0,0.0,60,False,False,False,0,True,A,16,456.0,289.5,1.0,True,456.0,353.5,13559288,26.6,True,98,98,0,0,117.2,264.9,leader,74.3,False,False,轉弱,81→72→74,-8.8,-19.7,3
2327,國巨*,TWSE,760.0,6.65,749.2,617.98,122.3,1.4,0.2,26394.4,0.58,-10.15,True,True,True,75,A,1.0,1.0,1.0,0.0,0.42,0.49,False,0.0,0.0,60,False,False,False,0,True,A,16,847.0,631.0,-0.3,True,847.0,670.0,46836584,7.9,True,97,97,0,0,89.4,212.1,leader,70.8,False,False,轉弱,84→70→71,-10.2,-19.1,2
3042,晶技,TWSE,213.5,8.23,207.9,180.15,67.6,2.7,0.3,4294.4,0.65,-7.5,False,True,False,32,C,1.0,0.0,0.3,0.0,1.25,0.98,False,0.0,0.0,60,False,False,False,0,True,A,15,231.0,182.0,-3.4,True,231.0,195.0,22766307,7.0,True,92,92,0,0,51.2,137.0,leader,66.8,False,False,維持,71→65→67,1.7,-2.1,1
7610,聯友金屬-創,TWSE,1765.0,6.88,1501.5,1248.3,187.9,17.5,2.6,747.6,0.27,-4.42,True,True,True,72,B,1.0,1.0,0.6,0.3,0.3,0.73,False,0.0,0.0,60,False,False,False,0,True,C,14,1810.0,1185.0,9.5,True,1810.0,1515.0,682898,34.3,True,99,99,0,0,135.4,469.4,leader,90.1,False,False,維持,89→90→90,4.7,-1.5,2
3026,禾伸堂,TWSE,620.0,6.62,615.1,492.45,155.5,0.8,0.1,1486.2,0.42,-5.85,False,True,False,57,B,1.0,1.0,0.3,0.0,0.39,0.91,False,0.0,0.0,60,False,False,False,0,True,A,14,699.0,471.0,1.2,True,699.0,562.0,3564611,17.5,True,99,99,0,0,115.3,487.7,leader,77.1,False,False,轉弱,82→78→77,-4.6,-7.8,3
8358,金居,TPEx,587.0,6.98,586.1,520.48,97.8,0.2,0.0,6631.2,0.24,-13.26,True,True,True,40,C,1.0,0.0,0.6,0.0,1.58,0.77,False,0.0,0.0,60,False,False,False,0,True,A,14,687.0,515.0,2.5,True,687.0,515.0,12555476,0.5,False,96,96,0,0,54.5,165.0,leader,61.8,False,False,轉弱,69→59→62,-6.4,-9.1,1
4916,事欣科,TWSE,119.0,6.02,111.54,94.69,87.8,6.7,1.1,1200.3,0.24,-4.31,True,True,True,75,A,1.0,1.0,1.0,0.0,0.25,0.51,False,0.0,0.0,60,False,False,False,0,True,A,14,127.5,95.0,9.5,True,127.5,110.0,12901931,11.5,True,87,87,0,0,64.3,119.2,leader,74.6,False,False,轉弱,83→80→75,4.4,-4.1,1
5285,界霖,TWSE,91.8,6.31,90.3,82.94,68.6,1.7,0.3,467.1,1.28,-1.2,True,False,False,32,C,1.0,0.0,0.3,0.0,1.32,0.81,False,0.0,0.0,60,False,False,False,0,True,A,14,99.6,78.9,7.7,True,99.6,85.2,5442512,14.8,True,86,86,0,0,48.1,97.8,leader,69.5,False,True,轉弱,83→88→69,1.3,-13.7,1
3167,大量,TWSE,903.0,7.02,847.0,803.75,52.0,6.6,0.9,1858.4,0.2,-5.37,True,True,True,82,A,1.0,1.0,1.0,0.3,0.24,0.59,False,0.0,0.0,60,False,False,False,0,True,A,14,950.0,780.0,8.6,True,950.0,780.0,2312215,-4.1,False,96,96,0,0,42.3,184.9,leader,63.8,False,False,維持,66→64→64,7.5,3.9,1
2472,立隆電,TWSE,359.0,8.3,350.6,294.2,87.9,2.4,0.3,3492.7,0.26,-3.0,False,True,False,50,B,1.0,1.0,0.0,0.0,0.2,1.68,False,0.0,0.0,60,False,False,False,0,True,A,13,408.0,260.0,4.6,True,408.0,315.0,12615585,23.7,True,98,98,0,0,79.3,238.7,leader,72.3,False,False,轉弱,74→71→72,-5.5,-11.5,2
